drill_id,frame_num,coach_acc,student_acc,pose_sim,ball1,ball2,clip_label,clip_sim
Drill 101,67,88.24,17.65,1.3974166562329,"(393, 309)","(241, 297)",dribbling vs kicking,0.804
Drill 101,68,70.59,17.65,1.5476955875840892,"(404, 309)","(243, 299)",dribbling vs kicking,0.766
Drill 101,69,70.59,35.29,1.373973762428723,"(380, 243)","(730, 339)",dribbling vs kicking,0.753
Drill 101,70,76.47,23.53,1.3885559549662059,"(368, 50)","(721, 355)",kicking vs kicking,0.746
Drill 101,71,88.24,29.41,1.3493299837043844,"(193, 395)","(245, 311)",kicking vs kicking,0.772
Drill 101,72,76.47,47.06,1.4265174552638522,"(353, 52)","(235, 301)",dribbling vs kicking,0.766
Drill 101,73,82.35,47.06,1.6692280613837445,"(361, 256)","(247, 319)",dribbling vs kicking,0.729
Drill 101,74,76.47,11.76,1.424341365702814,"(278, 67)","(745, 213)",kicking vs kicking,0.764
Drill 101,75,88.24,5.88,1.4614563042760371,"(323, 316)","(770, 172)",dribbling vs kicking,0.806
Drill 101,76,82.35,47.06,1.2904874012431564,"(325, 321)","(215, 292)",dribbling vs kicking,0.741
Drill 101,77,82.35,0.0,1.8460582631515763,"(344, 256)","(253, 301)",dribbling vs kicking,0.746
Drill 101,78,70.59,11.76,1.3060020816549198,"(340, 351)","(337, 263)",dribbling vs kicking,0.76
Drill 101,79,76.47,0.0,1.5163845869653394,"(327, 250)","(691, 141)",dribbling vs kicking,0.771
Drill 101,80,88.24,0.0,2.02726838353215,"(289, 304)","(686, 152)",dribbling vs kicking,0.747
Drill 101,81,94.12,0.0,2.240913557945349,"(328, 346)","(788, 304)",dribbling vs kicking,0.77
Drill 101,82,94.12,17.65,1.8329273818306155,"(337, 345)","(741, 155)",dribbling vs kicking,0.794
Drill 101,83,94.12,0.0,2.3309257905002005,"(349, 347)","(758, 322)",dribbling vs kicking,0.804
Drill 101,84,94.12,35.29,1.7916544152387124,"(357, 346)","(673, 113)",dribbling vs kicking,0.8
Drill 101,85,100.0,64.71,1.9102325388465609,"(367, 346)","(340, 260)",dribbling vs kicking,0.826
Drill 101,86,100.0,47.06,2.1080553395958486,"(371, 349)","(765, 266)",dribbling vs kicking,0.817
Drill 101,87,100.0,58.82,1.978515052833405,"(359, 29)","(334, 247)",dribbling vs kicking,0.85
Drill 101,88,82.35,58.82,1.919933879052655,"(379, 352)","(345, 239)",dribbling vs kicking,0.818
Drill 101,89,94.12,58.82,1.9729366317680657,"(825, 73)","(338, 245)",dribbling vs kicking,0.811
Drill 101,90,88.24,41.18,1.982570856908657,"(389, 350)","(778, 128)",dribbling vs kicking,0.817
Drill 101,91,100.0,0.0,2.142236251365335,"(731, 85)","(344, 242)",dribbling vs kicking,0.795
Drill 101,92,88.24,58.82,1.8250865483980934,"(394, 353)","(341, 235)",dribbling vs kicking,0.818
Drill 101,93,100.0,11.76,2.0694292040954663,"(347, 173)","(338, 227)",dribbling vs kicking,0.808
Drill 101,94,94.12,5.88,2.1310106707685708,"(397, 356)","(757, 344)",dribbling vs kicking,0.818
Drill 101,95,100.0,0.0,2.288833330386142,"(393, 39)","(781, 218)",dribbling vs kicking,0.811
Drill 101,96,94.12,23.53,2.160772513435084,"(399, 35)","(759, 202)",dribbling vs kicking,0.808
Drill 101,97,100.0,0.0,2.281439883341948,"(407, 34)","(754, 220)",dribbling vs kicking,0.777
Drill 101,98,100.0,11.76,1.8960591751467597,"(413, 31)","(793, 99)",dribbling vs kicking,0.75
Drill 101,99,94.12,0.0,1.7896342239290115,"(419, 29)","(788, 103)",dribbling vs kicking,0.766
Drill 101,100,88.24,0.0,2.043442348255613,"(491, 113)","(238, 59)",dribbling vs kicking,0.806
Drill 101,101,94.12,29.41,1.5921888209786688,"(725, 91)","(730, 53)",dribbling vs kicking,0.781
Drill 101,102,94.12,23.53,1.9312516125251076,"(427, 27)","(692, 292)",dribbling vs kicking,0.784
Drill 101,103,88.24,29.41,1.586673809046315,"(429, 31)","(802, 206)",dribbling vs kicking,0.781
Drill 101,104,94.12,35.29,1.7221106528161083,"(419, 334)","(211, 35)",kicking vs kicking,0.79
Drill 101,105,94.12,76.47,1.6279125143909783,"(467, 370)","(344, 187)",kicking vs kicking,0.75
Drill 101,106,76.47,52.94,1.5842041228177957,"(431, 250)","(793, 185)",dribbling vs kicking,0.743
Drill 101,107,94.12,41.18,1.5725762890903163,"(435, 262)","(350, 179)",dribbling vs kicking,0.796
Drill 101,108,94.12,52.94,1.4424233938199031,"(785, 85)","(760, 410)",dribbling vs kicking,0.833
Drill 101,109,82.35,47.06,1.72446694654348,"(455, 47)","(352, 190)",dribbling vs dribbling,0.777
Drill 101,110,100.0,29.41,2.042791654035016,"(465, 47)","(731, 105)",dribbling vs dribbling,0.733
Drill 101,111,100.0,52.94,1.9167419854577052,"(689, 85)","(290, 201)",dribbling vs dribbling,0.748
Drill 101,112,88.24,52.94,1.9460753670411683,"(479, 237)","(353, 193)",dribbling vs kicking,0.718
Drill 101,113,88.24,58.82,1.5251576897731172,"(491, 58)","(353, 207)",dribbling vs kicking,0.666
Drill 101,114,100.0,23.53,1.9152323767095303,"(497, 64)","(361, 197)",dribbling vs kicking,0.751
Drill 101,115,94.12,47.06,1.9232377479329459,"(767, 68)","(514, 184)",dribbling vs kicking,0.737
Drill 101,116,82.35,47.06,1.629984892354146,"(505, 380)","(283, 215)",dribbling vs kicking,0.75
Drill 101,117,94.12,70.59,1.5420580207367633,"(507, 381)","(362, 191)",dribbling vs kicking,0.781
